"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特開2022-135578","特願2021-035489","2021/03/05","2022/09/15","表面材の施工方法","清水建設株式会社","E04F13/08,101@V,B28B1/16,B28B1/30,E04F13/14,103@F,E04F13/14,103@E","特開2022-135578","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-135578/7DC7FBD4D502C351F6F7568C560189A55A0BFADEC3DF88F8C8BD862C5B55DF44/11/ja"
"特開2022-131346","特願2021-030246","2021/02/26","2022/09/07","棒材、接合構造、及び、接合方法","株式会社大林組","F16B31/02@A,F16B35/04@G","特開2022-131346","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-131346/312E560B7D3642680C1FFBD5389B56FCEAF5E8E3F104646DC06273105641DECB/11/ja"
"特開2022-127322","特願2021-025400","2021/02/19","2022/08/31","デッキプレートの接合構造およびデッキプレートの接合方法","日鉄建材株式会社","E04D3/36@J,E04B5/10","特開2022-127322","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-127322/C63EEFCF4D4C9550DC0A3605E4E0F67A9E1BB46EA8A7F22490D2792A483BBF0E/11/ja"
"特開2022-115268","特願2021-011786","2021/01/28","2022/08/09","外壁パネル","積水ハウス株式会社","E04F13/14,102@A,E04B2/94,E04B1/94@D,E04C2/04@D","特開2022-115268","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-115268/8E65F728586F1667019B58AA6A509E4E56A3AFD22F82302FE56722DB2BA34E9B/11/ja"
"特開2022-094754","特願2020-207828","2020/12/15","2022/06/27","吸着式スタッド溶接装置","日本スタッドウェルディング株式会社","B23K9/20@D","特開2022-094754","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-094754/D557EA7D846756E0306A19D11BE380AD6D8EB11A0FA2E0C926EE7FD14CE57FE2/11/ja"
"特開2022-066106","特願2020-175032","2020/10/16","2022/04/28","鉄筋コンクリート埋込プレート","株式会社安藤・間","E04B5/32@B","特開2022-066106","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-066106/949D640ECDD5E5A70100FEAE19809B1B53E2174C616BA803B106DFA9E2F9DAF4/11/ja"
"特開2022-061695","特願2020-169791","2020/10/07","2022/04/19","鉄筋コンクリート柱と鉄骨梁との接合部構造","株式会社安藤・間","E04B1/58,505@P,E04B1/30@K","特開2022-061695","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-061695/97AF0BC0B5FD93857349DC20CA0992465741EE5805A6720D3A718ABABFD650C0/11/ja"
"特開2022-054880","特願2020-162133","2020/09/28","2022/04/07","ねじ付きスタッド","日本スタッドウェルディング株式会社","F16B35/04@G,F16B35/00@Q","特開2022-054880","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-054880/280C79AE4962FCB43F47D231EAA232F7A227BC48C500CCD4EBC9627E51A3E6AC/11/ja"
"特開2022-050971","特願2020-157188","2020/09/18","2022/03/31","耐火断熱装置、耐火断熱方法、および耐火断熱構造","株式会社ロンビックジャパン,株式会社竹中工務店","E04B1/94@D,E04B1/94@L","特開2022-050971","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-050971/2426FE667E57EC9B8542C63C478938C7296317D120B8A77EE92145D06F846F25/11/ja"
"特開2022-022680","特願2020-114129","2020/07/01","2022/02/07","接合構造","株式会社竹中工務店","E04B1/41,502@Z,E04B1/30@H,E04B5/32@D","特開2022-022680","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-022680/93DD63DC0401B6148F7AF56DF066B48840D5902D9A6F767574303577FF7DAB61/11/ja"
