"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特開2018-066126","特願2016-203894","2016/10/17","2018/04/26","接続構造","ヤクモ株式会社,株式会社竹中工務店","E04B9/18@G,E04B1/98@E,E04B5/43@H,E04B9/00@A,F16F15/08@E","特開2018-066126","","特許6925114","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-066126/337F07700C1B8F27C042FE5F48EE8F37096A84454706431A35D9C53D427B80AD/11/ja"
"特開2018-063177","特願2016-201612","2016/10/13","2018/04/19","溶接部材の超音波診断方法","原子燃料工業株式会社","G01N29/06,G01N29/26,G01N29/265","特開2018-063177","","特許6700151","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-063177/391CA380B578F0FA3B483B32EF5EA418B4BBD5491DD159F9C9333FF3FDA83089/11/ja"
"特開2018-062747","特願2016-200343","2016/10/11","2018/04/19","ルーバー用パネル、及びルーバー用パネルの取付構造","日鉄住金鋼板株式会社","E04F10/08","特開2018-062747","","特許6754265","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-062747/28A7FE15988E93B41E89583B7BC99A926C47A7729183B2D3AF361EDA5BEA0AA2/11/ja"
"特表2019-529186","特願2019-516200","2017/09/26","2018/03/29","接合要素のためのマガジン組立体及び接合要素をマガジン組立体内に送る方法","ニューフレイ　リミテッド　ライアビリティ　カンパニー","B29C65/56","特表2019-529186","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-529186/5F3B48A9F37CCB7D11ABCCA905ABAD397031BBAB5B3EA5F6603F7A065A46AD8E/11/ja"
"特表2019-531191","特願2019-512875","2017/09/05","2018/03/22","接合要素をクリーニングし加工物上に接合するための方法及び装置","ニューフレイ　リミテッド　ライアビリティ　カンパニー","B23K9/20@A,B23K9/20@Z","特表2019-531191","","特許7155111","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-531191/6A4FB8C649E3BECF06099BF3386A70133587BA61DBA7AB3851B0EBCE6B97D042/11/ja"
"特許6298553","特願2017-027434","2017/02/17","2018/03/20","消火器及び消火器の製造方法","モリタ宮田工業株式会社","A62C13/78@B","特開2018-130414","","特許6298553","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-6298553/DADB2962EA9F64FB6FD547387FAF2CB0339B14B93711A81261DD69578EBEE084/15/ja"
"特開2018-031235","特願2016-165817","2016/08/26","2018/03/01","鋼桁橋梁の連結構造及び既設鋼桁橋梁の連結工法","株式会社建設技術研究所,阪神高速技研株式会社,阪神高速道路株式会社","E01D2/02,E01D22/00,E01D21/00","特開2018-031235","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-031235/00457DF844C001EC01F667D591CD1BE8F8B3FF2E00B8D806104B785420E4F4AC/11/ja"
"特開2018-031205","特願2016-164733","2016/08/25","2018/03/01","杭頭接合部の設計方法及び製造方法","ジャパンパイル株式会社,センクシア株式会社","E02D27/12@Z","特開2018-031205","","特許6440659","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-031205/872FF38CA6190315E611F3A3B14CAAFB84ED2BB65D44EB04EDFE5F9749642978/11/ja"
"特開2018-021726","特願2016-153866","2016/08/04","2018/02/08","プレキャストブロック構造体","黒崎播磨株式会社","F27D1/06,C21D1/00,116@A,C21D1/00,114@C,F27D1/00@D","特開2018-021726","","特許6791677","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-021726/B6C8A3D8725F9F56E10FF86DA67582635116B90B9F5233FF60E15970D8393112/11/ja"
"特開2018-021403","特願2016-154198","2016/08/05","2018/02/08","鋼合成桁の床版取替工法及びＰＣ床版","オリエンタル白石株式会社","E01D19/12,E01D22/00@A","特開2018-021403","","特許6771987","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-021403/86EB8670E304CCB6C0DB4042B7C0824CF9CD50A46BC353AA4D3F1CE9EEE59267/11/ja"
"特表2019-522568","特願2019-500887","2017/07/11","2018/01/18","接合ヘッド及び減少した干渉輪郭を有する接合装置","ニューフレイ　リミテッド　ライアビリティ　カンパニー","B23K9/20@D,F15B15/14,340@Z,F15B15/14,345@A","特表2019-522568","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-522568/587C1451FEB7D5A2E38129C79486BC6EFA653B1457816661ADCE1DFC081D52AB/11/ja"
"実登3214288","実願2017-004809","2017/10/20","2017/12/28","ポータブルスポット溶接ガン","デンゲン株式会社","B23K11/11,B23K11/28","","","実登3214288","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-3214288/5D3C0B836310BF2F4572E2E4B269437B8A181D18654357D251DF03D3B778856D/25/ja"
"特開2017-226068","特願2017-113274","2017/06/08","2017/12/28","接合装置のための装填用ピン、接合装置、及び接合要素給送方法","ニューフレイ　リミテッド　ライアビリティ　カンパニー","B23P19/04@B,B23P19/04@Z,B23K9/20@F","特開2017-226068","","特許6879829","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-226068/AA4A7A00332D391FE64016461AD875835F8330825E663E9C6C8E9A80C941402A/11/ja"
"特開2017-226011","特願2017-117778","2017/06/15","2017/12/28","スタッド溶接用の非導電性のライナー","株式会社アステック入江","B23K11/00,530","特開2017-226011","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-226011/F20B880D6E7F8166914A256B7930EEAC540BD65EFE8E1609EFD8E130EDE6B22A/11/ja"
"特開2017-225991","特願2016-122984","2016/06/21","2017/12/28","スタッド溶接用ガン及びスタッド溶接方法","株式会社アステック入江","B23K11/00,530,B23K9/20@D","特開2017-225991","","特許6694185","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-225991/5ABC58AAFF1FA51FDE107CB7268292C8AD706490F5F00C5186283B21BE61B714/11/ja"
"特開2017-225985","特願2016-122012","2016/06/20","2017/12/28","セラミックスの取付方法及びバーナ構造体","株式会社ＩＨＩ","B23K9/20@A,F23D1/00@Z","特開2017-225985","","特許6880577","拒絶2020-015854","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-225985/6DA599CF257E1F6778E6F015DEC7BA2DA25986EC6030F907EA83DE7E6B4EE77B/11/ja"
"特開2017-211023","特願2016-104596","2016/05/25","2017/11/30","制振材の固定方法","早川ゴム株式会社","F16F15/02@S,B63B29/02","特開2017-211023","","特許6830323","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-211023/27E98D2B2A217F309417EA84F2A4EE5E02CD5E6A2C9ACD330452E6B0CD647E2F/11/ja"
"特開2017-198438","特願2017-003483","2017/01/12","2017/11/02","不定形耐火物構造体、不定形耐火物構造体の製造方法、及び、耐熱繊維製支持材","新日鐵住金株式会社","F27D1/10,F27D1/16@F","特開2017-198438","","特許6834502","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-198438/0F3D42A833B22851CFDABE0ACB179F1CB4BA5C3ECCFC077A31070418AF6FBEF3/11/ja"
"特開2017-189803","特願2016-081209","2016/04/14","2017/10/19","鉄筋溶接治具、鉄筋溶接装置及び鉄筋溶接方法","株式会社ＩＨＩ","B23K9/20@D,B23K9/20@C,B23K9/20@A","特開2017-189803","","特許6753125","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-189803/8CF82E2E5AD7C3F18B2BFFA522E429313EA81EE5BE0678974845B6DD423E5C71/11/ja"
"特開2017-187677","特願2016-077303","2016/04/07","2017/10/12","吸音材の取付け構造、吸音材の取付け方法、および可搬式容器","株式会社プラントプロダクツ,三菱重工業株式会社,三菱重工エンジン＆ターボチャージャ株式会社","G10K11/16@C,G10K11/16,110","特開2017-187677","","特許6690981","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-187677/041E270CED9DC3174DE76C8CC8C3CFEEFF7F9360B02E2E8631B09A9F886B1B92/11/ja"
"特開2017-185626","特願2013-242007","2013/11/22","2017/10/12","接合装置及び接合方法","ポップリベット・ファスナー株式会社","B23K11/00,510,B23K11/11,530,B23K11/24,336,B29C65/36,B23K11/14,H05B6/10,331,H05B6/36@D,B23K11/24,338,B23K11/30,310,B23K11/34,B23K11/36,330,B23K11/14,315,B23K11/00,530,B23K11/30,311,B23K103:18","特開2017-185626","","特許6252747","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-185626/5DE396CE52FF170168F80C405CB8670CB70A71DEA99B4649CB4CDF864A6C51BD/11/ja"
"再表2017/170732","特願2018-509360","2017/03/29","2017/10/05","柱梁接合構造及び鉄骨鉄筋コンクリート柱","新日鐵住金株式会社","E04B1/30@K,E04B1/58,508@P","WO2017/170732","","特許6447777","","再表2017/170732","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-170732/025C9D6C73973F5333F0B1CAEDDDCAFEBD610750BCD5A3BEB5EA0A45067B47D1/19/ja"
"実登3212733","実願2017-003257","2017/07/18","2017/09/28","パネル及びパネル構造体","神鋼ノース株式会社","E04C2/36@G","","","実登3212733","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-3212733/A6A26DB0825E2D5FCB0F8E43DDF177DC67977F45D409976D4424A74A694130C9/25/ja"
"特開2017-164853","特願2016-053279","2016/03/17","2017/09/21","液体抜き取り方法及び装置","東京電力株式会社","B23B35/00,B23B51/04@Z,B09B5/00@Z,B09B101:00,B09B101:15","特開2017-164853","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-164853/C987602387C41318B954F7CEBEFA31F95E218789AB60E1F5FC7BBCF8D053AB3A/11/ja"
"特開2017-164806","特願2016-173278","2016/09/06","2017/09/21","アークスタッド溶接に用いられるフラックス及びアークスタッド溶接方法","國立屏東科技大學","B23K35/362@Z,B23K9/20@Z,B23K9/20@A,B23K9/20@C","特開2017-164806","","特許6357204","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-164806/6C419A09DD414151F4970B04104C9D4CC717835073C26DFBE053401C165B7B3C/11/ja"
"特表2019-516008","特願2018-545383","2017/02/28","2017/09/08","スタッド溶接可能鉄筋","ネルソン　スタッド　ウェルディング，インコーポレイテッド","C22C38/00,301@Y,E04C5/18,102,E04C5/03,C22C38/60","特表2019-516008","","特許6968079","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-516008/F33A0EC81C7FACAB856C3778D54192A1530E6871641F6AF13EFE0D09D13A8F46/11/ja"
"特許6181332","特願2017-030324","2017/02/21","2017/08/16","複数橋の床版同時取替工法","オリエンタル白石株式会社","E01D19/12,E01D22/00@A,E01D24/00","特開2018-135677","","特許6181332","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-6181332/DF6C1EC79AAC680BF46601B48BB85E8BC079B8020B22C458211D086F03BAA426/15/ja"
"特開2017-127902","特願2016-021278","2016/01/20","2017/07/27","スタッドピン","一文機工株式会社","B23K9/20@B,E04B1/76,400@F,B23K9/073,550","特開2017-127902","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-127902/AF0CD14AF8309DCACD3B55B383D824A749DE34ED83E8499720C663C1CC79DC68/11/ja"
"特開2017-113777","特願2015-250916","2015/12/24","2017/06/29","スタッド溶接機におけるスタッドの保留、排出装置","トヨタ自動車株式会社,日本スタッドウェルディング株式会社","B23K9/20@F,B23K11/14,310,B23K11/00,530","特開2017-113777","","特許6444850","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-113777/1B2AE19EE63D0E9D8DDF24648F021889F2F7363FCC0609D2DBAE14001D5D1E11/11/ja"
"特開2017-106303","特願2016-229446","2016/11/25","2017/06/15","セグメント","新日鐵住金株式会社","E21D11/04@Z,E21D11/14","特開2017-106303","","特許6780468","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-106303/03B3220AB7E18728E8CFA6445C4D8EE10B9A0B0207E36F24EEB6DF4FDE64B265/11/ja"
"特許6106254","特願2015-240090","2015/12/09","2017/03/29","エレベータのかご室内鏡装置","東芝エレベータ株式会社","B66B11/02@P,B66B11/02@R","特開2017-105576","","特許6106254","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-6106254/EDE5B85E39E28C300007A2616CA3FFD697694C1ACA9AB1797A0C765A26E8B82D/15/ja"
"特開2017-040077","特願2015-161834","2015/08/19","2017/02/23","建物構造","大和ハウス工業株式会社","E04B1/94@M,E04B1/00,501@N","特開2017-040077","","特許6639831","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-040077/4CA15D2BDD68B18E50F6157E35DB1F358969D9A9775AB45F8BF3789925E71572/11/ja"
"実登3208771","実願2016-005600","2016/11/22","2017/02/16","ポータブルスポット溶接ガン","デンゲン株式会社","B23K11/11,550@A","","","実登3208771","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-3208771/DA26E9005A9AF6013CD8FE8A02899F7E4EF199D4D74693B8475C7C46D8AF80C2/25/ja"
"特開2017-035707","特願2015-156900","2015/08/07","2017/02/16","溶接装置","株式会社向洋技研","B23K11/14,H02M3/28@Y,H02M9/00@B,B23K11/24,356,B23K11/24,392,B23K11/24,396","特開2017-035707","","特許6331198","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-035707/70B6844E7D327A154D5B58F0AA5FF66E388CF255E5ED4C0B91A0FB8407AE47E9/11/ja"
"特開2017-035706","特願2015-156899","2015/08/07","2017/02/16","スタッド溶接方法および抵抗溶接機","株式会社向洋技研","B23K11/14,315,H02M9/00@B,B23K11/24,356,B23K11/24,392,B23K11/24,396,B23K11/00,530","特開2017-035706","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-035706/6B4B016DF78CD1E3485DAB2ECBABA0B4F74427C07A8877DCB23D39BD37CA35D0/11/ja"
"特開2017-031728","特願2015-154430","2015/08/04","2017/02/09","耐火被覆材及びその製造方法","ニチアス株式会社","E04B1/94@E,E04B1/94@N,E04B1/94@D","特開2017-031728","","特許6300764","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-031728/FC4489AED6AD9094E047B8BA6A445FA96F48927880501E8466AC1DE09624B6AD/11/ja"
"特開2017-014580","特願2015-133282","2015/07/02","2017/01/19","微弱電流と圧力を用いた無電解メッキ方法","マフレン株式会社,株式会社九州電化,株式会社小西鋳造,原田　哲男","C23C18/16@Z,C25D15/02@F,C23C18/36,C23C18/52@A","特開2017-014580","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-014580/F70F9F68F2788B2AA5349B42101FF58E0B4FEDAD1D5EBB9A5A67C372B028DBF6/11/ja"
"特開2017-003115","特願2016-115850","2016/06/10","2017/01/05","スタットボルト、及びその製造方法","株式会社シグマベース","F16B35/00@Q,E21D11/15,B23K20/12@G,F16B37/04@B","特開2017-003115","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-003115/E7195012D80EDC6E5DF2C2D067D9C79579A3B40DD186837024AD11D211E40DE4/11/ja"
"特開2017-002559","特願2015-117173","2015/06/10","2017/01/05","コンクリート床版接合工法、コンクリート床版取り替え工法、コンクリート床版接合構造","横河工事株式会社,西日本高速道路株式会社,株式会社横河ブリッジ","E01D22/00@A,E01D19/12","特開2017-002559","","特許6343590","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2017-002559/877BA9F8958E76B78A572500B1CBA7EDEA0A2912BDCDD2741313F5BF81CE17D6/11/ja"
"特開2016-223220","特願2015-112277","2015/06/02","2016/12/28","ねじ付きスタッドと機械式継手を用いた頂版結合工に関する施工方法","日本スタッドウェルディング株式会社","E02D27/12@Z,E02D5/04,E02D27/32@A","特開2016-223220","","特許6333774","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-223220/3D09C5B252C6D10C24A04A8E89FA45FC2E0979BD10A5DC22C828F0D91B4A77ED/11/ja"
"特開2016-223203","特願2015-111851","2015/06/02","2016/12/28","被覆構造体","株式会社エフコンサルタント","E04B1/94@C,E04B1/94@U","特開2016-223203","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-223203/9CF6EFEECB31CC246B8E2D3E43E48F7966347F724DEC95F77F1FC1885E8C7958/11/ja"
"特開2016-223202","特願2015-111850","2015/06/02","2016/12/28","被覆構造体","株式会社エフコンサルタント","E04B1/94@D,E04B1/94@U,E04B1/94@X","特開2016-223202","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-223202/1BED3B6293526355AF653D5B3C3A0935CCD5F4FD3F242663CB627AC571E69FD8/11/ja"
"特表2018-520875","特願2017-553930","2015/11/11","2016/11/17","接合構成部品及び接合方法","ニューフレイ　リミテッド　ライアビリティ　カンパニー","B23K1/00,330@N,F16B11/00@A,F16B35/00@Y","特表2018-520875","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-520875/EF62F28880131DFED7EDD4773B0C72E14B7A79D42ACD6DBF97686434D4EAB2E8/11/ja"
"特開2016-193448","特願2015-075150","2015/04/01","2016/11/17","スタッド溶接方法","日本スタッドウェルディング株式会社","B23K9/20@A","特開2016-193448","","特許6242836","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-193448/3F7DAE99EC051CAABEF2DA12F7CC3FACE9F6ED93DA6DC9B976D83325E43A1C07/11/ja"
"特表2018-512338","特願2018-503453","2016/03/31","2016/10/06","スライドアウトルームおよび動作機構ならびにそれらの構成要素","エックスエル・アイピー・ベー・フェー","B60P3/35","特表2018-512338","","特許6749995","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-512338/392848B8FBB945EED529ED630E2CAE95EF2F764D75D551868B413B3BA4C7D32B/11/ja"
"特開2016-168599","特願2015-048399","2015/03/11","2016/09/23","スタッド溶接ピン用絶縁カバー及びスタッド溶接ピン組付体","株式会社タイルメント","B23K9/20@Z,B23K11/00,530","特開2016-168599","","特許6393636","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-168599/F8F7CD18693CF724A93D194D5AC4902BA5A7C34D549DE2BC458014407280D0FB/11/ja"
"再表2016/139750","特願2017-503253","2015/03/03","2016/09/09","エレベータの操作盤","三菱電機株式会社","B66B1/50@A,B66B1/46@A","WO2016/139750","","特許6289730","","再表2016/139750","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-139750/8FB51D0B03BEE62FBDDD35A517173ABABC34A48E378D742EA8BF026366E1D482/19/ja"
"特開2016-159308","特願2015-038064","2015/02/27","2016/09/05","積層複合板への接合に用いるスタッドピン接合装置、及びスタッドピン接合方法","曙機械株式会社,国立大学法人東京工業大学","B23K9/20@B,F16B37/06@C,F16B19/08@A,B23K11/00,530,B23K9/20@G,B23K11/14,315,B23K9/20@C,B23K9/20@A","特開2016-159308","","特許6639790","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-159308/47F2BB4E6EA50C555396006A9DA944E3C569356D2F5ED81288937E9FFF2C1A92/11/ja"
"特開2016-155139","特願2015-033084","2015/02/23","2016/09/01","スラグ付着防止液の塗布具および溶接方法","日本ドライブイット株式会社","B23K9/32@E,B23K9/20@Z","特開2016-155139","","特許6473343","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-155139/757D93D07F126F609D16993CE99A0DAC908233329665701C80464DBA38AD3FD7/11/ja"
"特開2016-151470","特願2015-028700","2015/02/17","2016/08/22","ＡＥ法を用いた劣化モニタリング方法および劣化モニタリング装置","三菱日立パワーシステムズ株式会社","G01N29/14","特開2016-151470","","特許6470583","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-151470/8A573A9457EA6D05295A2236736BA620109D8B652474D4352096EE2DDDCCDC59/11/ja"
"特開2016-150370","特願2015-030210","2015/02/19","2016/08/22","レーザ光によるワークの前処理方法及びレーザ加工機","株式会社アマダ","B23K26/36,B23K26/073,B23K26/38@A,B23K26/60,B23K26/242","特開2016-150370","","特許6535478","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-150370/0BB48D8698B8B9C2D4DF598951A20DA5D02190C81D395AC21CDFB4DDA9019A25/11/ja"
"特開2016-145693","特願2015-023520","2015/02/09","2016/08/12","耐熱繊維ロープ製スタッド","黒崎播磨株式会社","F27D1/10,B23K9/20@B,F27D1/00@D","特開2016-145693","","特許6063496","拒絶2016-015563","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-145693/A4B4EDE8342E873E8C8A4835C3A504FD29E256D2F8BE5AE01B804AE55784CC4A/11/ja"
"特開2016-121800","特願2015-105224","2015/05/25","2016/07/07","トルクシェアーボルト、固定ナット、及びこれを含むボルト組立体","ピー．エス．　テック　カンパニー　リミテッド","F16B31/02@A,E04B1/24@P,E04B1/24@L,F16B35/00@T,F16B37/04@A,F16B39/282@Z","特開2016-121800","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-121800/4201393E635182599BD53BED8FC5080F9B766595AC9B8C1413796AF4C0A65379/11/ja"
"特開2016-117586","特願2015-218335","2015/11/06","2016/06/30","接合要素給送装置","ニューフレイ　リミテッド　ライアビリティ　カンパニー","B65G47/04,B65G1/137@A,G06K7/10,412","特開2016-117586","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-117586/B590DDE850DD9024397A025F677D9AD4A6076189667358AD90B46B591F841415/11/ja"
"特表2018-507357","特願2017-520488","2015/09/21","2016/06/23","接合構成要素及びその製造方法","ニューフレイ　リミテッド　ライアビリティ　カンパニー","F16B11/00@A,B29C65/40","特表2018-507357","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2018-507357/47DB3E123D517B2247FA531C30B4D68C715F185606ED558084FE9E482C547382/11/ja"
"特開2016-112586","特願2014-253132","2014/12/15","2016/06/23","アークスタッド溶接装置","日本ドライブイット株式会社","B23K9/20@D","特開2016-112586","","特許6417202","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-112586/59ADED6B00495A7A50AECD48A3383591A0413C762B01A4648ACA27606F19F974/11/ja"
"特開2016-107391","特願2014-250265","2014/12/10","2016/06/20","ロボット手首のためのツールアダプタ及びツールアダプタを取り付けたロボット","ファナック株式会社","B25J19/00@Z,B25J17/02@Z","特開2016-107391","","特許6247200","拒絶2017-012111","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-107391/9174C8ABDF9AA1B64BB0833F95810F97642D14E33074B2B17D24538BF22A74EC/11/ja"
"実登3204721","実願2016-001505","2016/04/01","2016/06/09","スタッド溶接用フェルール","有限会社根岸工業","B23K9/20@C","","","実登3204721","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-3204721/E2518F934C5A18E46F36D8C09E04567A10AD8AC27514D878CA56D263B92A17EB/25/ja"
"特開2016-104899","特願2014-243362","2014/12/01","2016/06/09","プレキャストブロック構造体","黒崎播磨株式会社","C21D1/00,116@A,F27D1/00@N,C21D1/00,114@C","特開2016-104899","","特許6438283","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-104899/43802BE7A224EF750E7DA245FDD5341D624F6E2157F1A1EA43671F10F1BB7E73/11/ja"
"特開2016-082645","特願2014-209944","2014/10/14","2016/05/16","配電盤","阪急電鉄株式会社,株式会社因幡電機製作所","H02B1/08@F,H02B9/00@B,H02B1/38@D,H02B1/40@B,H02B1/44","特開2016-082645","","特許6284868","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-082645/DF3EC0D8DC57CD8A7AD6ED21DAF8A2DAC71F0DE45952166BC5FFE32CD7455C1D/11/ja"
"特開2016-070967","特願2014-196869","2014/09/26","2016/05/09","映像表示装置","株式会社東芝,東芝ライフスタイル株式会社,東芝映像ソリューション株式会社","G02F1/1333,G02F1/13357","特開2016-070967","","特許6454114","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-070967/34DA30C884935248CEAC95EB79E71B297A1E448E26B7F6A8136E6D6EDC1198F9/11/ja"
"特開2016-069883","特願2014-199398","2014/09/29","2016/05/09","支圧板付き折曲げ加工鉄筋","株式会社クラウン","E02D27/12@Z","特開2016-069883","","特許6006274","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-069883/585501146883AFFCB1F595C6394B134B2F3030C5F6B79EEA8DED88E5B755FC44/11/ja"
"特開2016-065442","特願2015-027271","2015/02/16","2016/04/28","合成床スラブ構造","新日鐵住金株式会社","E04C5/06,E04B5/40@A","特開2016-065442","","特許6569232","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-065442/559875D424A39BF9471BD555A5F82694AE9983B0DF841891D7B4E46E5C1A561B/11/ja"
"特開2016-049559","特願2014-177936","2014/09/02","2016/04/11","スタッド溶接機及びそれを用いたスタッド溶接方法","株式会社タイルメント","B23K9/20@A,B23K9/20@G","特開2016-049559","","特許6370170","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-049559/7CF6BBF36C8737D3844445BE3F13B1C1B667B1635FD0B09734774FB9AA0735E8/11/ja"
"特開2016-041903","特願2015-159349","2015/08/12","2016/03/31","硬化ライニング材のライナーを固定する固定アセンブリ、該固定アセンブリと共の使用に適したフェルール、さらにフェルールホルダーを含む固定取り付けアセンブリ、および該固定アセンブリの使用","シリコン　ホールディング　ビー．ブイ．","E04B1/16@Z,E04G21/18@A","特開2016-041903","","特許6533121","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-041903/71576E3862B91DB51F4612ECC3FDF8BF725C58102894BAFC443CDC4F1D74ACDC/11/ja"
"特開2016-037718","特願2014-160027","2014/08/06","2016/03/22","Ｈ形鋼梁","新日鐵住金株式会社","E04B1/94@A,E04B1/94@C","特開2016-037718","","特許6409396","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-037718/52E5884ECCC4A1BCD58896859C436CBE0DC402065D920A200D3F5C103F23EBAC/11/ja"
"特開2016-028834","特願2015-197465","2015/10/05","2016/03/03","急速コンデンサ放電鍛造による金属ガラスの形成","カリフォルニア　インスティチュート　オブ　テクノロジー","B22D17/00,500,B22D18/02@E,B21J1/06@Z,C22F1/00@B,C22C45/10,B22D18/02@P,B22D17/00@Z,C22F1/00,608,C22C45/00,C22F1/00,691@B,C22F1/00,694@B,C22F1/00,692@B,C22F1/00,691@A,C22F1/00,692@Z,C22F1/00,694@Z,C22F1/00,691@Z,C22F1/00,612,C22F1/00,630@K,C22F1/00,683","特開2016-028834","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-028834/F1EA029874B3D5697F2D3B8E4A722354C987622AE47601FFF448F15597DED127/11/ja"
"特開2016-028824","特願2014-151728","2014/07/25","2016/03/03","溶接装置および防錆被覆鉄筋","ダイヘンスタッド株式会社","B23K9/20@D,E04C5/18,102,E04G21/12,105@E","特開2016-028824","","特許6358882","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-028824/4DDFE437524E7611A2F7ABDFC8562284AD47FE0EC47BC5F0F8E516482CD28F1C/11/ja"
"特開2016-003499","特願2014-124940","2014/06/18","2016/01/12","鋼管コンクリート杭接合構造","大成建設株式会社,株式会社トーヨーアサノ,三谷セキサン株式会社,日本ヒューム株式会社,ジャパンパイル株式会社,前田製管株式会社","E02D5/30@Z,E02D27/12@Z","特開2016-003499","","特許6395464","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-003499/C46A75CC68BFA5207E61112DD21659F0A490375903D371A6FC365AF9EBFEDF89/11/ja"
"特開2016-002593","特願2014-137217","2014/06/16","2016/01/12","スタッドピン","一文機工株式会社","B23K9/20@B,B23K11/00,530,B23K11/14","特開2016-002593","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-002593/F1F50734E9FF22B01EF73AA0D7960BA68A3C3AD85E212A45F1BE7BB35DFE331F/11/ja"
